tconst	averageRating	numVotes
tt0000929	5.3	46
tt0015414	5.2	16
tt0015724	6.1	26
tt0034841	6.3	282
tt0038086	7.0	27
tt0040844	3.3	189
tt0059325	6.4	254
tt0059900	6.4	38
tt0065188	6.4	37
tt0067460	6.8	26
tt0068494	4.9	20
tt0070501	7.0	230
tt0073481	8.0	43
tt0077432	5.4	13
tt0078006	7.0	33
tt0080039	2.7	367
tt0081145	5.4	286
tt0081721	6.2	326
tt0082473	6.7	120
tt0082891	5.5	250
tt0084015	7.3	44
tt0084447	6.2	204
tt0084551	5.5	25
tt0084638	6.9	420
tt0084870	7.1	397
tt0088267	5.5	117
tt0088283	6.0	38
tt0088656	6.9	164
tt0088657	7.0	180
tt0090144	8.1	233
tt0090665	6.7	1895
tt0090780	7.7	8
tt0090785	5.7	51
tt0091490	5.5	41
tt0091899	6.2	160
tt0092024	7.0	53
tt0092507	7.3	411
tt0092589	4.4	33
tt0092926	3.0	230
tt0092984	4.9	76
tt0093061	7.7	15
tt0093099	6.0	121
tt0093210	5.5	18
tt0093211	5.1	10
tt0093309	6.2	179
tt0093508	6.4	9
tt0093572	7.3	379
tt0093646	7.9	20
tt0093989	6.0	17
tt0094004	5.2	88
tt0094376	5.6	264
tt0094390	6.2	22
tt0094666	4.3	122
tt0094808	6.0	15
tt0094841	6.5	296
tt0094857	5.9	133
tt0094874	4.8	14
tt0094900	5.0	238
tt0094926	4.8	98
tt0094997	4.6	1886
tt0095006	4.4	40
tt0095095	5.0	83
tt0095111	7.8	1017
tt0095147	6.7	90
tt0095201	5.5	25
tt0095229	6.7	21
tt0095290	5.7	46
tt0095335	4.3	12
tt0095394	7.1	177
tt0095450	6.9	361
tt0095469	6.5	40
tt0095571	8.4	41
tt0095671	4.8	14
tt0095672	5.4	9
tt0095673	6.5	13
tt0095674	6.1	8
tt0095745	2.5	335
tt0095761	5.1	24
tt0095783	7.8	12
tt0095831	4.2	7
tt0095840	4.3	83
tt0095902	6.7	52
tt0096025	5.6	76
tt0096038	6.4	21
tt0096075	5.1	57
tt0096090	5.2	20
tt0096107	6.8	605
tt0096135	8.0	12
tt0096154	4.0	122
tt0096174	6.4	94
tt0096177	4.5	107
tt0096222	5.4	91
tt0096254	7.0	27
tt0096361	7.0	9
tt0096362	6.9	14
tt0096363	6.7	8
tt0096397	6.0	10
tt0096405	5.1	180
tt0096469	5.2	29
tt0096500	6.3	13
tt0096513	6.7	242
tt0096749	5.2	30
tt0096752	7.9	86
tt0096763	5.9	29
tt0096767	3.4	64
tt0096775	5.1	35
tt0096781	7.5	20
tt0096786	3.2	1784
tt0096797	5.5	92
tt0096811	6.3	230
tt0096817	5.8	29
tt0096825	3.4	53
tt0096830	3.9	387
tt0096837	4.6	85
tt0096845	6.2	61
tt0096857	6.0	121
tt0096858	6.6	512
tt0096859	6.0	351
tt0096860	3.2	36
tt0096864	6.0	43
tt0096871	6.0	2206
tt0096875	5.3	4335
tt0096877	3.6	148
tt0096879	5.8	43
tt0096883	4.8	37
tt0096910	4.9	20
tt0096937	6.7	109
tt0096954	4.5	586
tt0096984	6.7	32
tt0096992	6.8	30
tt0096995	3.5	142
tt0097004	4.0	1095
tt0097049	5.3	530
tt0097057	6.6	44
tt0097062	7.2	735
tt0097066	7.6	32
tt0097079	5.8	83
tt0097106	7.1	5464
tt0097111	6.3	46
tt0097115	5.7	901
tt0097122	6.6	10
tt0097129	5.0	128
tt0097140	6.6	115
tt0097176	5.1	757
tt0097184	4.7	210
tt0097204	4.3	31
tt0097246	6.8	55
tt0097253	7.5	1489
tt0097259	3.9	109
tt0097298	2.7	187
tt0097310	6.7	7
tt0097318	3.8	99
tt0097324	7.2	14
tt0097339	7.0	176
tt0097346	5.5	183
tt0097348	6.2	372
tt0097362	6.2	102
tt0097365	3.7	1668
tt0097394	6.0	204
tt0097399	5.2	8
tt0097405	4.6	119
tt0097416	7.1	2087
tt0097436	6.0	731
tt0097475	7.1	28
tt0097479	5.8	21
tt0097505	4.1	145
tt0097506	5.8	71
tt0097509	6.7	307
tt0097516	5.3	114
tt0097519	5.7	11
tt0097525	5.6	37
tt0097535	6.5	27
tt0097542	5.4	13
tt0097550	5.5	1426
tt0097558	6.5	227
tt0097571	7.6	25
tt0097573	4.6	1744
tt0097578	6.7	66
tt0097585	6.7	101
tt0097615	6.9	14
tt0097619	6.2	298
tt0097631	4.2	159
tt0097638	6.1	209
tt0097644	5.8	75
tt0097655	4.2	250
tt0097666	6.1	85
tt0097668	6.4	210
tt0097683	6.3	66
tt0097697	6.0	37
tt0097720	3.7	163
tt0097726	4.0	187
tt0097738	5.9	70
tt0097743	6.1	32
tt0097765	6.4	52
tt0097769	5.6	1642
tt0097775	5.7	2930
tt0097783	7.4	126
tt0097802	6.8	86
tt0097803	5.7	89
tt0097820	4.4	26
tt0097822	7.4	71
tt0097833	6.6	114
tt0097848	7.5	184
tt0097849	5.1	12
tt0097850	6.9	32
tt0097851	8.3	1577
tt0097863	3.7	50
tt0097864	5.0	46
tt0097874	3.9	1038
tt0097875	6.7	344
tt0097884	7.2	3339
tt0097893	5.2	67
tt0097894	6.5	13
tt0097910	5.0	5558
tt0097912	6.9	62
tt0097919	5.7	15
tt0097924	6.1	14
tt0097925	6.0	22
tt0097928	5.0	65
tt0097949	8.5	12
tt0097966	7.4	277
tt0097968	7.3	98
tt0097970	6.0	292
tt0097979	6.0	139
tt0097984	5.0	40
tt0098004	7.1	39
tt0098018	8.1	15
tt0098021	7.5	36
tt0098030	6.7	222
tt0098043	3.4	298
tt0098050	5.8	113
tt0098063	5.5	4450
tt0098064	4.3	33
tt0098070	6.4	13
tt0098077	7.3	49
tt0098100	5.1	40
tt0098136	4.6	2445
tt0098139	6.6	334
tt0098144	6.7	16
tt0098150	6.8	649
tt0098172	4.8	69
tt0098181	5.2	12
tt0098199	5.0	378
tt0098211	2.4	334
tt0098244	6.4	265
tt0098256	3.5	19
tt0098267	6.2	46
tt0098278	5.5	41
tt0098294	6.3	87
tt0098344	3.7	667
tt0098372	5.4	179
tt0098377	4.7	107
tt0098392	6.0	10
tt0098405	6.1	13
tt0098422	4.5	154
tt0098426	6.9	221
tt0098429	4.5	29
tt0098431	6.2	13
tt0098461	5.4	414
tt0098462	5.0	27
tt0098486	6.4	2728
tt0098488	6.4	305
tt0098495	5.3	13
tt0098514	5.6	82
tt0098531	5.6	177
tt0098532	7.5	10418
tt0098534	6.4	42
tt0098542	8.2	79
tt0098548	6.3	13
tt0098576	6.8	8
tt0098584	5.9	257
tt0098588	6.8	248
tt0098606	6.3	3189
tt0098629	7.1	64
tt0098634	6.8	56
tt0098656	6.9	128
tt0098657	7.2	16
tt0098658	6.9	975
tt0098707	7.3	73
tt0098920	2.8	36
tt0098958	5.6	221
tt0098959	5.1	165
tt0098961	5.4	1010
tt0098962	7.6	1467
tt0098963	6.4	70
tt0098965	2.3	848
tt0098966	5.5	25933
tt0098967	6.7	7275
tt0098970	5.8	91
tt0098972	6.4	316
tt0098974	6.2	31
tt0098976	4.6	656
tt0098978	6.2	36
tt0098980	5.6	11
tt0098981	5.7	53
tt0098986	6.3	239
tt0098987	6.4	18855
tt0098988	5.3	46
tt0098989	6.0	41
tt0098990	7.1	534
tt0098991	7.1	42
tt0098992	2.8	7
tt0098993	6.9	298
tt0098994	6.5	3994
tt0098996	4.2	395
tt0098997	6.1	20
tt0098998	5.2	54
tt0098999	7.6	9274
tt0099000	7.1	235
tt0099001	6.4	78
tt0099003	7.7	34
tt0099004	5.3	85
tt0099005	5.8	29873
tt0099006	8.4	14
tt0099008	5.2	51
tt0099009	6.4	201
tt0099011	5.7	39
tt0099012	6.6	14899
tt0099013	5.9	24
tt0099014	6.4	1047
tt0099015	7.0	27
tt0099017	4.4	152
tt0099018	5.5	4818
tt0099023	7.4	5
tt0099025	4.2	57
tt0099026	5.9	4025
tt0099027	6.3	65
tt0099028	7.8	972
tt0099029	5.2	306
tt0099032	8.0	35
tt0099034	5.9	42
tt0099037	7.7	155
tt0099038	5.6	49
tt0099039	5.0	807
tt0099058	6.4	33
tt0099105	6.1	8
tt0099115	5.2	11
tt0099158	7.1	795
tt0099217	7.2	24
tt0099279	7.4	9
tt0099370	5.3	49
tt0099383	5.7	60
tt0099427	5.4	12
tt0099457	6.0	24
tt0099526	6.3	265
tt0099530	5.5	231
tt0099542	6.2	133
tt0099580	6.6	1487
tt0099661	5.6	31
tt0099727	7.4	234
tt0099746	8.3	9
tt0099781	7.9	17
tt0099811	7.7	68
tt0099851	8.7	3181
tt0099952	6.8	12
tt0099971	6.6	7
tt0099992	5.3	504
tt0100216	7.8	2171
tt0100255	6.6	8
tt0100316	6.1	17
tt0100370	7.0	6
tt0100406	6.3	45
tt0100439	7.6	56
tt0100492	5.8	27
tt0100578	8.1	66
tt0100580	7.7	54
tt0100642	8.0	23
tt0100658	7.5	53
tt0100664	6.8	8
tt0100710	6.7	25
tt0100718	4.2	138
tt0100724	7.2	26
tt0100748	6.8	29
tt0100749	7.9	40
tt0100750	6.1	50
tt0100751	7.3	84
tt0100752	6.1	27
tt0100753	6.0	34
tt0100754	6.8	90
tt0100755	6.2	60
tt0100770	7.0	22
tt0100900	7.1	138
tt0100948	7.5	18
tt0100953	7.3	7
tt0101095	7.4	2604
tt0101179	7.1	19
tt0101246	7.2	79
tt0101271	6.5	224
tt0101274	6.8	72
tt0101300	7.5	71
tt0101358	7.1	336
tt0101443	6.5	43
tt0101480	8.0	62
tt0101655	7.9	543
tt0101750	7.6	121
tt0101835	5.9	228
tt0101836	5.8	257
tt0101837	5.7	219
tt0101838	5.7	233
tt0101840	5.6	242
tt0101894	8.2	13
tt0101915	8.3	61
tt0101971	7.5	90
tt0101972	7.9	121
tt0102012	7.4	99
tt0102111	7.0	27
tt0102199	5.4	33
tt0102255	4.0	7
tt0102276	7.6	37
tt0102281	8.3	32
tt0102337	7.7	534
tt0102378	7.4	145
tt0102379	7.0	127
tt0102416	7.4	1236
tt0102424	7.6	55
tt0102474	4.2	13
tt0102501	5.9	12
tt0102502	6.1	10
tt0102621	7.5	51
tt0102643	7.0	25
tt0102644	6.5	107
tt0102711	8.1	54
tt0102786	6.3	42
tt0102787	5.6	45
tt0102856	6.2	25
tt0102857	7.8	23
tt0102863	6.9	73
tt0102925	8.0	8
tt0103020	8.0	7
tt0103046	7.0	230
tt0103047	5.9	63
tt0103048	5.3	60
tt0103049	6.9	138
tt0103050	6.2	128
tt0103051	5.7	26
tt0103052	6.6	70
tt0103053	6.8	88
tt0103054	5.2	50
tt0103062	8.2	41
tt0103071	6.6	56
tt0103145	7.6	12
tt0103149	6.4	51
