tconst	directors	writers
tt1637688	nm0629272	nm0629272
tt15398776	nm0634240	nm0634240,nm3284831,nm2452558
tt0046593	nm0527217,nm0865709	nm0866572,nm0073714
tt0086734	nm0926215,nm0695779	nm0526967,nm0625782
tt0088655	nm0407479,nm0632726	nm0014556,nm0840697
tt0094456	nm0002910,nm0802909	nm1354261,nm0061860
tt0094525	nm0071734,nm0002723	nm0028672,nm0048762
tt0095670	nm0305869,nm0002797	nm0034999,nm0044156
tt0096538	nm0000608,nm0923571	nm0189610,nm0122900
tt0096658	nm0416176,nm0723033	nm0867682,nm0342176
tt0098761	nm0863990,nm0035106	nm0586965,nm0003994
tt0098765	nm0003201,nm0358759	nm0100928,nm0152509
tt0098792	nm0706347,nm0578162	nm0135203,nm0487414
tt0098798	nm0044524,nm0082676	nm0082677,nm0210290
tt0098884	nm0174068,nm0337675	nm0158219,nm0512894
tt0098889	nm0002087,nm0364578	nm0383604,nm1206934
tt0098916	nm0002573,nm0918873	nm0367895
tt0099231	nm0165965,nm0164196	nm0287046,nm0809424
tt0099283	nm0666685,nm0839907	nm0100252,nm2417643
tt0101152	nm0494025,nm0074213	nm0039903,nm0051612
tt0101161	nm6524380,nm0452129	nm0488991,nm0002445
tt0106078	nm0258917,nm0369359	nm0070455,nm0378087
tt0133302	nm0456525,nm1913674	nm2748129,nm2429938
tt0135104	nm0326450,nm3089383	nm0326450,nm0291633
tt0139780	nm0850044,nm0305405	nm0363483,nm0392694
tt0158415	nm0386185,nm1011775	nm0366625,nm0386185
tt0159876	nm1516104,nm0000813	nm0907869,nm0000636
tt0166458	nm0573475,nm0426183	nm0048468,nm0077654
tt0167566	nm0934508,nm0596850	nm0041438,nm0187994
tt0167644	nm0151298,nm0503793	nm0024887,nm0099789
tt0176357	nm0115185,nm0402596	nm0012258,nm0027355
tt0190210	nm0355703,nm0461298	nm4481722,nm0140105
tt0199184	nm1271498,nm1633360	nm0787649,nm1230477
tt0297625	nm0086295,nm0950000	nm0035495,nm0039185
tt0297626	nm0694341,nm0602454	nm2547247,nm0020814
tt0298685	nm0193508,nm0856827	nm0010063,nm0142179
tt0313144	nm0703400,nm0092380	nm0056445,nm0092267
tt0346328	nm0001352,nm0138609	nm0331453,nm0384484
tt0364151	nm0800232,nm0555684	nm0480402,nm0258515
tt0401056	nm0884547,nm0219959	nm0208086,nm0710179
tt0806901	nm0473151,nm0414249	nm0608236,nm0244815
tt0806910	nm0389263,nm2937720	nm0921557,nm0921847
tt0809273	nm0777527,nm0238245	nm0016549,nm1131476
tt0815353	nm0053083,nm5674075	nm1147788,nm0479351
tt0846838	nm0583800,nm0784808	nm0576634
tt0882736	nm0378743,nm0105826	nm0065496,nm0089777
tt0889258	nm0349222,nm0753898	nm0106937
tt0939820	nm0154324	nm0154324,nm0418588
tt0985040	nm0247089,nm0497543	nm0041710,nm0083707
tt1049304	nm0923675,nm0397986	nm0035495,nm0039185
tt1226281	nm0389373,nm0389386	nm0300041,nm0553323
tt12606372	nm0144758,nm0135332	nm0053716,nm0094730
tt13031912	nm0000877	nm0577362,nm0739744
tt1342141	nm0373911,nm0226290	nm0450551
tt15175450	nm0331964,nm0917076	nm0302904,nm0932477
tt1601983	nm1624141,nm0717154	nm0016895,nm0074237
tt1615489	nm0055726,nm2207622	nm0055726,nm1290756
tt1634348	nm0076679	nm0076679,nm1386736
tt1685403	nm0502727,nm0090141	nm11512422,nm5168037
tt3687174	nm0949645	\N
tt3782882	nm0403279,nm0266862	nm0011989,nm0076814